,vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
1,Animation_480P-046c,Animation,480,119,3.15,3.022,3.123,3.075,0.7190000000000001,0.598,0.5870000000000001,0.581,640,480,yuv420p,29.97002997,,,
3,Animation_480P-073c,Animation,480,107,3.407,3.123,3.113,2.9530000000000003,0.65,0.7170000000000001,0.693,0.755,640,480,yuv420p,25.0,,,
4,Animation_480P-087e,Animation,480,126,3.525,3.432,3.2319999999999998,3.353,0.523,0.565,0.72,0.601,720,480,yuv420p,15.415,,,
5,Animation_480P-08a5,Animation,480,104,3.42,3.19,3.535,3.52,0.625,0.6679999999999999,0.662,0.564,640,480,yuv420p,25.0,,,
6,Animation_480P-0d04,Animation,480,135,3.111,3.096,3.0210000000000004,2.862,0.7020000000000001,0.7290000000000001,0.725,0.76,856,480,yuv420p,30.0,,,
7,Animation_480P-1da7,Animation,480,106,3.1830000000000003,2.912,2.9589999999999996,3.228,0.679,0.7440000000000001,0.752,0.726,928,480,yuv420p,9.39,,,
9,Animation_480P-35ee,Animation,480,120,3.29,3.313,3.174,1.7,0.644,0.608,0.552,1.054,720,480,yuv420p,30.0,,,
11,Animation_480P-3fdf,Animation,480,106,3.465,3.4139999999999997,3.245,3.2,0.545,0.612,0.657,0.617,640,480,yuv420p,25.0,,,
13,Animation_480P-4b86,Animation,480,131,3.495,3.32,3.2460000000000004,3.2569999999999997,0.535,0.547,0.601,0.6679999999999999,720,480,yuv420p,29.97002997,,,
14,Animation_480P-4e36,Animation,480,116,3.303,3.4,3.389,3.3560000000000003,0.649,0.556,0.536,0.597,640,480,yuv420p,25.0,,,
15,Animation_480P-52af,Animation,480,133,3.656,3.64,3.6189999999999998,3.78,0.503,0.45799999999999996,0.49,0.528,854,480,yuv420p,29.97002997,,,
16,Animation_480P-66c0,Animation,480,125,3.4530000000000003,3.537,3.5039999999999996,3.373,0.5379999999999999,0.606,0.517,0.56,720,480,yuv420p,29.905,,,
17,Animation_480P-6e23,Animation,480,114,3.7310000000000003,3.654,3.4989999999999997,3.589,0.504,0.5660000000000001,0.7,0.627,854,480,yuv420p,29.97002997,,,
18,Animation_480P-6ef6,Animation,480,115,3.6069999999999998,3.5069999999999997,3.302,3.247,0.489,0.522,0.513,0.556,640,480,yuv420p,25.0,,,
20,Animation_480P-70d4,Animation,480,120,3.8480000000000003,3.9,3.793,3.6239999999999997,0.524,0.469,0.462,0.514,720,480,yuv420p,30.0,,,
22,Animation_480P-791b,Animation,480,137,3.286,3.142,3.2289999999999996,3.139,0.591,0.6409999999999999,0.6729999999999999,0.674,640,480,yuv420p,29.97002997,,,
23,Animation_480P-7a31,Animation,480,117,3.487,3.28,3.341,3.438,0.524,0.612,0.7440000000000001,0.53,640,480,yuv420p,8.0,,,
24,Animation_480P-7ef2,Animation,480,119,3.1639999999999997,3.123,3.1260000000000003,3.4810000000000003,0.5870000000000001,0.674,0.664,0.5660000000000001,854,480,yuv420p,25.0,,,
25,CoverSong_480P-0170,CoverSong,480,109,3.1180000000000003,2.915,2.763,2.844,0.569,0.665,0.578,0.627,640,480,yuv420p,15.11,,,
26,CoverSong_480P-1019,CoverSong,480,115,3.815,3.509,3.6919999999999997,3.523,0.43,0.442,0.48100000000000004,0.451,640,480,yuv420p,25.0,,,
27,CoverSong_480P-1109,CoverSong,480,114,2.826,2.762,2.573,2.271,0.614,0.607,0.563,0.584,640,480,yuv420p,25.0,,,
28,CoverSong_480P-2142,CoverSong,480,119,3.25,3.2319999999999998,3.2030000000000003,3.1519999999999997,0.532,0.53,0.483,0.66,854,480,yuv420p,29.97002997,,,
29,CoverSong_480P-2207,CoverSong,480,125,2.9339999999999997,2.935,2.931,2.945,0.782,0.7290000000000001,0.737,0.7509999999999999,640,480,yuv420p,30.0,,,
31,CoverSong_480P-2d2c,CoverSong,480,123,3.8369999999999997,3.7430000000000003,3.6919999999999997,3.6310000000000002,0.485,0.451,0.42700000000000005,0.447,640,480,yuv420p,30.0,,,
32,CoverSong_480P-3076,CoverSong,480,127,1.71,1.505,1.5290000000000001,1.524,0.779,0.519,0.59,0.607,640,480,yuv420p,29.87100103,,,
33,CoverSong_480P-35e1,CoverSong,480,104,3.608,3.437,3.5269999999999997,3.428,0.522,0.515,0.5589999999999999,0.496,640,480,yuv420p,30.0,,,
34,CoverSong_480P-3e4b,CoverSong,480,132,2.877,2.609,2.609,2.6210000000000004,0.6940000000000001,0.6679999999999999,0.6409999999999999,0.752,640,480,yuv420p,29.97002997,,,
35,CoverSong_480P-3e92,CoverSong,480,139,4.235,4.277,4.1739999999999995,4.2589999999999995,0.35,0.457,0.526,0.456,640,480,yuv420p,50.0,,,
36,CoverSong_480P-3f3b,CoverSong,480,120,3.0269999999999997,2.575,2.467,2.658,0.657,0.489,0.483,0.485,640,480,yuv420p,30.0,,,
37,CoverSong_480P-41a5,CoverSong,480,112,3.27,3.3089999999999997,3.264,3.392,0.456,0.518,0.557,0.425,640,480,yuv420p,16.457,,,
38,CoverSong_480P-4d34,CoverSong,480,113,2.677,2.498,2.526,2.479,0.67,0.424,0.485,0.503,640,480,yuv420p,29.916999999999998,,,
39,CoverSong_480P-53f4,CoverSong,480,118,3.1689999999999996,3.153,3.122,3.153,0.483,0.499,0.46399999999999997,0.539,640,480,yuv422p,30.0,,,
40,CoverSong_480P-59f2,CoverSong,480,121,3.418,3.404,3.342,3.508,0.517,0.546,0.5329999999999999,0.48200000000000004,720,480,yuv420p,10.965,,,
41,CoverSong_480P-5b62,CoverSong,480,135,3.056,2.8739999999999997,2.866,2.889,0.617,0.597,0.599,0.6,640,480,yuyv422,24.71,,,
42,CoverSong_480P-60a6,CoverSong,480,113,2.369,2.6289999999999996,2.661,2.715,0.457,0.593,0.69,0.629,640,480,yuv420p,29.619,,,
43,CoverSong_480P-64d0,CoverSong,480,131,3.917,3.859,3.833,3.832,0.47100000000000003,0.527,0.519,0.431,640,480,yuv420p,25.0,,,
44,CoverSong_480P-6c3e,CoverSong,480,115,2.502,2.0340000000000003,1.93,2.011,0.763,0.687,0.5479999999999999,0.622,720,480,yuv420p,29.97002997,,,
45,CoverSong_480P-6c50,CoverSong,480,107,2.7289999999999996,2.895,2.8139999999999996,2.73,0.5379999999999999,0.586,0.617,0.568,640,480,yuv422p,30.0,,,
47,CoverSong_480P-7f6d,CoverSong,480,131,3.048,3.0189999999999997,2.9210000000000003,2.96,0.619,0.503,0.612,0.5770000000000001,854,480,yuv420p,29.97002997,,,
48,Gaming_480P-0109,Gaming,480,118,2.436,2.406,2.536,2.468,0.585,0.51,0.518,0.55,640,480,yuv420p,24.846,,,
