,vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
1,Animation_1080P-05f8,Animation,1080,146,3.9010000000000002,3.7569999999999997,3.6710000000000003,3.728,0.871,0.7340000000000001,0.733,0.738,1920,1080,yuv420p,25.0,,,
2,Animation_1080P-0c4f,Animation,1080,127,3.94,3.8310000000000004,4.01,4.031000000000001,0.529,0.527,0.626,0.6920000000000001,1920,1080,yuv420p,23.976023976024,,,
4,Animation_1080P-18f5,Animation,1080,139,4.158,4.177,3.815,4.02,0.579,0.5870000000000001,0.612,0.6829999999999999,1920,1080,yuv420p,29.970029970029998,,,
5,Animation_1080P-209f,Animation,1080,136,4.189,4.138,4.112,4.224,0.622,0.606,0.594,0.509,1920,1080,yuv420p,25.0,,,
6,Animation_1080P-21dd,Animation,1080,115,3.7910000000000004,3.719,3.733,3.62,0.486,0.526,0.48100000000000004,0.588,1920,1080,yuv420p,23.976023976024,,,
7,Animation_1080P-2fbe,Animation,1080,105,3.346,3.4560000000000004,3.341,3.324,0.82,0.578,0.721,0.64,1920,1080,yuv420p,23.976023976024,,,
8,Animation_1080P-2fff,Animation,1080,124,4.369,4.343,4.288,4.465,0.517,0.517,0.637,0.47600000000000003,1920,1080,yuv420p,25.0,,,
9,Animation_1080P-3d67,Animation,1080,118,2.778,2.2969999999999997,2.313,2.201,0.907,1.005,0.978,0.857,1920,1080,yuv420p,4.0,,,
10,Animation_1080P-3dbf,Animation,1080,142,4.444,4.3260000000000005,4.319,4.212,0.514,0.57,0.578,0.568,1920,1080,yuv420p,24.0,,,
11,Animation_1080P-3e01,Animation,1080,135,4.045,4.172,4.26,4.132,0.654,0.67,0.589,0.688,1920,1080,yuv420p,12.0,,,
12,Animation_1080P-4214,Animation,1080,119,3.51,3.3789999999999996,3.3680000000000003,3.415,0.7509999999999999,0.863,0.872,0.83,1920,1080,yuv420p,25.0,,,
14,Animation_1080P-4be3,Animation,1080,124,3.565,3.491,3.7060000000000004,3.508,0.49700000000000005,0.5920000000000001,0.584,0.525,1920,1080,yuv422p10le,23.976023976024,,,
15,Animation_1080P-4ea8,Animation,1080,139,4.121,4.314,3.835,3.61,0.625,0.509,0.522,0.586,1920,1080,yuv420p,24.0,,,
16,Animation_1080P-5083,Animation,1080,111,3.252,2.45,2.491,2.4859999999999998,0.778,0.972,0.996,1.006,1920,1080,yuv420p,25.0,,,
17,Animation_1080P-58d3,Animation,1080,148,4.243,4.395,3.965,4.024,0.556,0.465,0.503,0.5479999999999999,1920,1080,yuv420p,29.970029970029998,,,
18,Animation_1080P-5dd8,Animation,1080,115,3.958,3.946,4.006,4.2330000000000005,0.562,0.552,0.62,0.494,1920,1080,yuv420p,29.970029970029998,,,
20,Animation_1080P-646f,Animation,1080,143,3.3760000000000003,3.248,3.228,3.383,0.7090000000000001,0.698,0.736,0.7609999999999999,1920,1080,yuv420p,29.970029970029998,,,
22,Animation_1080P-6a33,Animation,1080,143,2.052,1.868,1.755,1.919,1.075,1.037,1.003,1.035,1920,1080,yuv420p,23.976023976024,,,
23,Animation_1080P-6ec0,Animation,1080,134,4.124,3.923,3.8289999999999997,4.2219999999999995,0.568,0.527,0.541,0.598,1920,1080,yuv420p,29.970029970029998,,,
27,Animation_360P-08c9,Animation,360,112,3.6519999999999997,3.6060000000000003,3.7260000000000004,3.622,0.456,0.47600000000000003,0.514,0.552,640,360,yuv420p,30.0,,,
28,Animation_360P-188f,Animation,360,125,3.702,3.44,3.697,3.6639999999999997,0.45799999999999996,0.564,0.52,0.485,640,360,yuv420p,29.970029970029998,,,
29,Animation_360P-24d4,Animation,360,121,3.435,3.292,3.397,3.42,0.516,0.594,0.562,0.5589999999999999,480,360,yuv420p,24.0,,,
30,Animation_360P-3e40,Animation,360,140,2.353,2.239,1.896,1.962,0.9279999999999999,0.649,0.747,0.81,640,360,yuv420p,30.0,,,
31,Animation_360P-3e52,Animation,360,115,3.6510000000000002,3.707,3.523,3.4610000000000003,0.508,0.485,0.5379999999999999,0.5379999999999999,640,360,yuv420p,29.970029970029998,,,
32,Animation_360P-47cc,Animation,360,133,3.282,3.306,3.333,3.09,0.6709999999999999,0.613,0.655,0.682,640,360,yuv420p,30.0,,,
33,Animation_360P-4b4c,Animation,360,130,3.003,3.1260000000000003,3.002,3.0460000000000003,0.816,0.612,0.649,0.66,640,360,yuv420p,30.0,,,
